2/16/2022,23:01:35,The time has come @elonmusk #Tesla #ElectricVehicles @tesla  https://t.co/3dAMIxehry,1,1320.0
2020-07-02,11:49:10,Give me a good reason to not short $TSLA,0.0,1455.0
2020-12-07,23:21:39,"The people are voting:  Climate change is winning and will soon be more important than social networking, search and mobile phones.   $TSLA",1.0,5298.0
2020-07-10,12:48:11,@scr00chy @EvaFoxU @Tesla 👀,1.0,1218.0
1/26/2022,16:34:41,$TSLA just posted $4.6B of cashflow in a single quarter 🤑🤯 #guapin  👏 nice work @Tesla @elonmusk @MartinViecha  https://t.co/V3XApAcmPM,2,1429.0
2022-04-05,16:27:18,Raise your 🤚 if you are all in Tesla stock.   $TSLA #Tesla,1.0,3894.0
2020-07-08,16:33:46,Sin mucho detalles les comento que acabo de conectar con uno de los más altos directores de @Tesla.   Entusiasmados por @GeekyMotors e interesados en su presencia en Panamá.  Logramos cautivar su atención: Panamá está en su radar 💪🏻,1.0,2375.0
2020-08-10,21:29:45,@Mark_Goldberg_ @Tesla Note the fabulous plaid jacket &amp; gingham shirt combo 🤣,1.0,10914.0
2020-11-26,12:13:51,"Elon. Very grateful for your passion and dedication to sustainable transportation, tesla and the EV community. You’ve built something truly special and incredible. So happy to be along for the ride. Mother Nature thanks you as well. $tsla @elonmusk  https://t.co/NXxZw7Aydc",1.0,1160.0
2022-04-03,09:22:51,NOT investing in Tesla is the biggest mistake you could make in your investing journey.   $TSLA #Tesla,2.0,924.0
2020-10-17,08:33:56,#earnings for the week    https://t.co/lObOE0dgsr   $TSLA $NFLX $PG $INTC $LMT $ABT $KO $T $HAL $SNAP $PM $VZ $AAL $ERIC $LOGI $WGO $IBM $PLD $TMO $CMG $LGND $LUV $CDNS $TSCO $DGX $LII $NDAQ $LRCX $PHG $BIIB $CLF $ACI $ONB $TXN $SYF $NEE $GPK $TRV $SFNC $FCX $MAN $IRBT $CMA $LLNW  https://t.co/ZpY54AfjCQ,1.0,2255.0
2020-07-06,17:31:29,This move up in #Tesla stock -- up 42.9% in the last five trading session -- is absolutely remarkable.  #stocks #markets #tsla #trading #investing #investors @Tesla  https://t.co/kojqFOvYNc,2.0,1352.0
2020-05-05,19:04:06,"$TSLA battery day in a tweet 🔋  maxwell cells built in house. cheaper/faster to scale production on a smaller footprint. more energy efficient, and will last 1M miles (less degradation). no cobalt  = @Tesla battery packs get more range AND are cheaper to produce   @elonmusk ?",1.0,1775.0
2020-05-10,23:45:25,@PPathole @LorenaSGonzalez @Tesla Absolutely,1.0,2488.0
12/11/21,10:27:40,"It’s been a rough couple weeks for L/T $TSLA investors, especially those of us who get judged on S/T performance. While others have cut back, we remain confident in our TSLA investment. Once Elon stops selling, and Berlin/Austin open, FY’22 EPS ests could jump 30-40%. $1,400 PT.  https://t.co/bkPLyCq3Un",0,1574.0
