11/6/21,16:19:19,Using Twitter results as cloud cover to monetize $TSLA at prices he knows aren’t sustainable without outright telling the market he’s lost faith in its valuation,0,4223.0
1/27/2022,10:05:26,"Why $TSLA down when positive FY’22 revisions. Simple answer: HFs/traders exiting positions after ok results and unfocused conf call - no product roadmap, didn’t address value drivers (M-Y Europe, Berlin/Austin timing, CT, $25K car). Some say supply constraints (but + revisions).",0,1666.0
2020-04-22,20:53:11,Rule #1 is never buy a product based on promised software updates but wow I'll take it. Thanks @Tesla 🤓  https://t.co/QXKvB0Qaen,1.0,21393.0
2020-07-22,17:59:17,"""We want to be super respectful of people's labor."" - Elon Musk -   This is an amazing quote. @elonmusk @tesla",1.0,15143.0
2020-12-17,20:36:23,You can’t even buy 1 share of $TSLA with the new proposed stimulus check. Sad!,1.0,1650.0
2/19/2022,13:34:57,"It's absolutely nutty how far the @Tesla #fsdbeta can see! The video is two images captured at almost the same time. One from above at 400ft, the other from the ground, inside the car. @elonmusk  https://t.co/zzhjLJrpy7",1,2595.0
4/15/2022,0:23:40,"My bull case for Tesla stock is $4,600 a share  My bear case is I get locked up in a mental facility",1,483.0
2020-12-14,11:39:05,$TSLA up 4.20% on this news:  https://t.co/nyVsReSbTf,2.0,1075.0
2022-04-04,06:09:01,@elonmusk after getting caught in a nasty storm last night on the way to Austin would it be possible to add a radar overlay feature to the @Tesla map view? Having localized weather alerts as part of this feature add would be perfect!,1.0,887.0
2022-04-07,10:06:51,today is almost two decades in the making and is just the beginning. LFG ❤️‍🔥❤️‍🔥 @tesla #respect #eatingglass  https://t.co/mwZgxsB6kE,1.0,972.0
2/8/2022,14:45:18,"President Biden has finally acknowledged $TSLA, calling it the nation's largest EV manufacturer",1,2053.0
2020-04-04,07:19:38,Charging my Tesla. For Free.  No more gas stations for me. $TSLA  https://t.co/gZS12H77qk,1.0,1692.0
11/4/21,14:09:19,"I sold my 2017 Honda hatchback to carmax for $18,600 and $18k go straight to $TSLA 😂",1,2240.0
12/19/21,21:28:15,My Cyberquad finally came… @tesla @elonmusk this thing is CRAZY FAST 😂🤯  https://t.co/xbfI2xVSyi,1,6510.0
2/25/2022,21:55:38,Pulled up next to a motorcycle cop at a red light. My passenger said I “didn’t have the balls to floor it anyway.”  Floored it in my Model S @Tesla.  Here’s what happened next (pic). #WorthIt 🤣🤣🤣🤣  https://t.co/q1zabY9Z36,1,1850.0
11/26/21,18:41:49,"Tesla is serious about safety.  I landed in autopilot jail on a long i5 free way drive (which is easy to do) and I am now unable to access FSD beta for a week.  Obviously I don’t like that it happened to me but I get it, @Tesla @elonmusk are taking use of #FSDBeta seriously 👏🏻  https://t.co/O0GyQwPz4u",1,1324.0
12/9/21,13:01:58,The new @Tesla roadster is so 🔥  https://t.co/vouE406LID,1,6015.0
2022-04-07,23:20:03,$tsla after watching @elonmusk speak this evening I refuse to believe that $tsla will only 5 to 10X over next 10 years  My bet at least 20X probably more,2.0,766.0
1/27/2022,19:56:22,"1/ Media &amp; most analyst reactions to Tesla earnings call are hilarious.  In a nutshell:  ""Elon promised big product update so we were pumped, but all he said on the call was Tesla are prioritising Bot &amp; FSD will prob be solved this year.""  🤦‍♂️  $TSLA @elonmusk",1,3206.0
4/21/2022,15:32:20,"When Tesla succeeds year after year, consistently beating expectations, and you continue to bet against it or have “doubts”, then keep doubting. You’ve allowed Tesla bulls and employees to accumulate $TSLA at ridiculously low prices. We don’t want idiots owning the stock.",2,1178.0
1/26/2022,17:52:51,"""This has the potential to be more significant than the vehicle business"" $TSLA @elonmusk  https://t.co/dDRF5viSRK",1,2433.0
3/22/2022,5:49:04,Recently there are lots of Bulls turned into Bears. A Tesla bull sold 200 shares of $TSLA at $800 before it surged to $900. 🤦‍♂️  No matter what..Time in the markets &gt; Timing the markets. Do not buy high sell low for silly reason. As long as you are long term. You should be fine,2,182.0
11/4/21,12:00:33,Tesla just became a trillion-dollar company 🚀 Here’s a video I made celebrating the amazing journey they have made to reach this milestone! @elonmusk @Tesla Thanks to @FlaTesla for helping with this #Tesla  https://t.co/QMwU1Skorz,2,12241.0
2020-10-30,11:54:39,$TWTR -20% $SPOT -9% $SQ -9% $NKLA -8% $SNOW -8% $FSLY -8% $TSLA -6% $SHOP -6% $FB -6% $NFLX -5% $AMZN -5% $AAPL -5%  HELL IS COMING,0.0,940.0
2020-11-25,21:36:17,"@Scobleizer @Tesla @elonmusk Will your wife praise @ElonMusk if you die while using AP? Will she understand that it was part of the ""mission""? What if you run over some kids, same deal? They didn't sign up to be beta testers. Other drivers didn't sign up either. Delete your Tweet Rob, its horrible.",1.0,807.0
1/24/2022,11:35:39,"I liked $TSLA at $1200, I liked it more at $1000, I like it even more at $880.",0,1084.0
2020-04-11,03:12:23,@AbiyAhmedAli @Tesla Good talking to you too. It was an honor.,1.0,4222.0
11/5/21,17:42:01,Hey @elonmusk is @Tesla ready to accept $DOGE soon? 👀,1,4066.0
2/10/2022,11:36:41,"If instead of buying a Model S in 2012, you put that same MSRP cost of $57,400 into $TSLA stock, today you'd have...  Over $7.6M",1,1423.0
2022-03-28,20:24:47,holy sh*t i got invited to $TSLA Austin giga factory opening - the Cyber Rodeo! shaking right now. might have to buy more tsla shares out of joy (just over 11k strong).,1.0,4404.0
2020-09-23,00:05:38,In-car footage from Sunday’s Plaid Model S run at Laguna Seca  https://t.co/rwQDBFCWoH,1.0,49008.0
12/15/21,11:59:52,"The Edmunds Top Rated 2022 Best EV is the @Tesla Model 3.  We've now named the Model 3 Best EV three-years-in-a-row.  And it’s not hard to see why –– the cabin is quiet, spacious, and comfortable, *and* it’s fun to drive:  https://t.co/p2bzvmfFKo  https://t.co/KIBd9n1qu0",1,1226.0
2/14/2022,20:05:02,"@elonmusk donated 5M+ $TSLA shares to the UN World Food Program in Nov’21, worth ~$6B.  Awesome &amp; well done👍👍👏👏",1,3293.0
2020-10-14,14:08:13,@gem8mingen @Tesla Congratulations!,1.0,2363.0
12/7/21,3:06:46,$TSLA stock is up 43% year-to-date.,1,1441.0
2020-12-22,08:16:19,"@elonmusk is this generation’s Steve Jobs.  Give them a choice between a Tesla and an Apple car as their vehicle of choice, Gen Z will choose $TSLA every time.",1.0,2788.0
2022-04-04,23:09:01,"Cost me only $150 in charging to get from Los Angeles to Austin! So awesome to not pay for gas, especially now! Love the @Tesla supercharger network! @elonmusk @TeslaCharging  https://t.co/IN4k3qTcQM",1.0,8041.0
4/14/2022,21:42:45,"BREAKING: ARK Invest has released their new $TSLA report.  ARK has increased their $TSLA price target to $4,641 for 2026 (from $3,000 for 2025). ARK also laid out a $5,784/share 2026 bull case scenario.  Tesla will hit a $4T market cap at $4,835/share (not incl dilution, etc).  https://t.co/QBakunLMNt",2,3425.0
3/22/2022,17:42:01,"Bear Market Over? Let's have a look at the news, on-chain data and TA covering #BTC #Ethereum #CLSK #HUT8 #Amazon #Tesla and more live at 3.05  https://t.co/kEAGZLyihG  https://t.co/iaV7ecr4Cu",2,375.0
2020-04-11,13:30:07,"Biggest mistakes of the century:  From before,  Apple $AAPL is only a PC maker  Amazon $AMZN is only a bookstore   Google $GOOG $GOOGL is only a search engine   Netflix $NFLX is only a DVD rental company  Now,  Tesla $TSLA is only an automaker",1.0,2305.0
2020-08-10,09:40:52,"12/ That was 10 years ago this summer.   If you had bought and held @Tesla from Day 1, you’d have roughly 80x return on your investment.   @elonmusk did the IPO his way, and paved the way for greater innovation (SPACs, Direct Listings) that continue to push status quo.",1.0,1293.0
2022-03-22,22:38:26,We’ve gone fully electric! 🔋⚡️ His and Hers 👫🏻🌳 @Tesla @elonmusk #Tesla #ModelY #Model3  https://t.co/H3bWgwdWUJ,1.0,1767.0
2/12/2022,18:01:19,Listen me .. if u r a #bitcoin bull then you cannot be $tsla bear   And if you are a Tesla $tsla bear you cannot be a #btc bull   Don’t ask me why it is so,1,234.0
1/26/2022,16:56:38,"$TSLA -5% initially because market didn’t excl $300M one-time payroll tax associated with Elon’s 2012 options exercise. Excl this, 4Q non-GAAP EPS would have been ~$2.80 vs $2.46 consensus. Annualizing this (legit w/ 50% vol guide) gets 2022 Non-GAAP EPS ~$11.20 vs Street $9.50.",1,1526.0
2020-10-03,19:43:39,"Just finished a 40-minute telephone convo with my mother — She told *me* about the $25k Tesla, Tesla depreciation &amp; high resale value, Tesla v. ICE total cost of ownership, etc.  She clearly understands more about Tesla than most Wall Street analysts @elonmusk   😊 $TSLA",1.0,1284.0
1/26/2022,18:39:48,Took some raw notes from today's @Tesla Q4 2021 Earnings Call that I wanted to share.  Link:  https://t.co/6AzRK8hsCu Image: 👇  https://t.co/bwxS7xGiT9,1,1352.0
1/30/2022,23:45:46,Happy Chinese New Year of the Tiger 2022!  @elonmusk @Tesla  https://t.co/8wJZuHPGSR,1,15085.0
12/3/21,15:27:30,There goes $50 $TSLA  https://t.co/xACsYQnvFt,1,1341.0
2022-04-08,10:50:16,"TESLA, BLOCK AND BLOCKSTREAM TEAM UP TO MINE BITCOIN OFF SOLAR POWER PLANT IN TEXAS - CNBC $TSLA $SQ",1.0,2717.0
2022-04-06,08:56:40,"BREAKING: BofA ups $TSLA price target to $1,300 from $1,100.",2.0,1518.0
2022-03-28,10:58:34,$TSLA will triple in 2022 🚀🌕  $TSLA will be the only automaker by 2025,2.0,1300.0
2/1/2022,6:57:14,"Media loves to create drama.  DJ: “Tesla will recall nearly 54,000 U.S. cars over software feature”  Reality:  To address the recall, $TSLA will perform an over-the-air software update that disables the ""rolling stop"" feature, NHTSA said.  https://t.co/dNOD0SDVTq",1,1736.0
12/29/21,2:38:17,"if you invest in $TSLA, you invest in:  - Robotics - Next level AI  - Energy Business - Great Minds of our Era (aka Tesla Engineers)  - The leading EV Giant - Best EV Trucks  - Fastest sport cars  It makes you get up excited in the morning for the new day, exciting future.",2,1399.0
2020-04-02,05:29:44,@elonmusk @Tesla Hi @elonmusk I'm a medical doctor and a Nigerian living in Nigeria. We need these ventilators as our government is not only wicked and wasteful but also SHAMELESS. This may just be our last hope in combating the effects of this virus. Thank you!,1.0,1260.0
1/23/2022,8:03:58,"Jim Cramer: “There’s no Achilles heel on Tesla … I think @ElonMusk is totally for real, I like him very much, he’s a great guy … Engaging, brilliant, exciting … He’s just a visionary like I’ve never seen … He’s changed the world in a positive way. I’m all-in Musk!” ⚡️🚀 $TSLA  https://t.co/Sb3nZeVRqP",2,1607.0
11/6/21,17:21:57,"@elonmusk Everyone think long term. With EV global adoption soaring (from 6% now to 25-30% by 2025), $TSLA TAM expanding (M-Y to EU, CyTruck, Compact, Semi), FSD, investm grade credit, 2022 ests 35% too low, 1-2 days of pressure is negligible. Another 4-1 or 5-1 stock split likely coming.",1,1564.0
2022-04-03,18:22:18,Just doing my part in helping the mission of a sustainable future 👊 $tsla  https://t.co/NzOfP99B17,1.0,1363.0
1/15/2022,17:46:53,"My goal is to achieve financial freedom by 2030. My hope is to accomplish this with $TSLA &amp; my current portfolio.   I want to spend more time w/family, do things I love, &amp; have options.   Doesn’t mean I’ll stop working, but that I’ll have more control on how I can spend my time.",1,1694.0
1/28/2022,10:30:59,optimus road map  @elonmusk $tsla  https://t.co/B1mO32Xw1R,1,12581.0
